id,kc_identifier,name,description,created_at
1,KC6,"Calculate revenue, costs, and profit",Procedural,2025-05-30 01:21:40.953139+00
2,KC5,Recognize how trust and reputation grow business,,2025-05-30 01:21:40.953139+00
3,KC11a,Identify customer segment,,2025-05-30 01:21:40.953139+00
4,KC7,Apply pricing strategies,,2025-05-30 01:21:40.953139+00
5,KC4,Differentiate fixed vs. variable costs,,2025-05-30 01:21:40.953139+00
6,KC10,Adapt services to match local needs,,2025-05-30 01:21:40.953139+00
7,KC3,Balance workforce and demand,,2025-05-30 01:21:40.953139+00
8,KC13,Invest in employee training,,2025-05-30 01:21:40.953139+00
9,KC14,Delegate to focus on high-value work,,2025-05-30 01:21:40.953139+00
10,KC18,Navigate ethical dilemmas,,2025-05-30 01:21:40.953139+00
11,KC16,Practice calculated risk-taking,,2025-05-30 01:21:40.953139+00
12,KC2,Evaluate product maintenance investments,,2025-05-30 01:21:40.953139+00
13,KC11,Identify new customer segments,,2025-05-30 01:21:40.953139+00
14,KC19,Solve problems creatively,,2025-05-30 01:21:40.953139+00
15,KC20,Match drone models to farm needs,,2025-05-30 01:21:40.953139+00